Suburb,Bedrooms,Bathrooms,Address,Parking_spaces,Price,Floor_size,Type,URL_code
Green Point,1,1,219 Main Rd,2,9.61580548,65,Rental,36641647
Clifton,4,3.5,280 Kloof Road,2,11.73606902,250,Rental,36351808
Clifton,3,2.5,One Victoria Road,2,11.60823564,350,Rental,36776286
Sea Point,0.5,1,8 Ashkelon London Road Sea Point 8005,0,9.210340372,50,Rental,36797322
Muizenberg,3,3,10 Maynard Road,1,9.71111566,114,Rental,36778981
Green Point,1,1,,1,10.30895266,64,Rental,36790219
Sea Point,2,2,81 Regent Road,1,10.1266311,101,Rental,35021820
Sea Point,3,3.5,,1,10.71441777,252,Rental,36773621
Wynberg,1,1,Park Rd Wynberg,0,8.630521877,20,Rental,36788475
Llandudno,1,1,,1,9.740968623,,Rental,36830980
Plumstead,2,1,,1,9.354440716,,Rental,36825929
Sea Point,3,2,,2,10.65725935,,Rental,35549766
Foreshore,1,1,Harbour Arch Boulevard,1,9.61580548,41,Rental,36627946
Camps Bay,4,2,,2,11.15625052,220,Rental,36767961
Gardens,1,1,,2,9.71111566,90,Rental,35407982
Claremont,3,3,,1,10.20359214,688,Rental,36798384
Green Point,2,2,,1,10.37349118,81,Rental,34988846
Rondebosch,4,3,,3,11.28978191,800,Rental,36809491
Sea Point,1,1,The Flamingo 4th Floor 6 Regent Road Sea Point,0,9.61580548,,Rental,36829301
Sea Point,2,2,,1,10.25765937,90,Rental,36768288
Bantry Bay,0.5,1,,1,9.928180165,59,Rental,35628634
Observatory,1,1,"1 Hexagon Crescent, Observatory",1,9.159047078,30,Rental,34358175
Sea Point,1,1,The Flamingo 6 Regent Road Sea Point,0,9.680344001,,Rental,36829157
Sea Point,3,2,,1,10.1266311,136,Rental,36809272
Mouille Point,3,4,,2,11.91839057,541,Rental,36767338
Camps Bay,1,1,,1,10.30895266,,Rental,36827052
Sea Point,2,2,,1,10.30895266,112,Rental,36798310
Mouille Point,2,2,,2,10.83958091,154,Rental,36804568
Camps Bay,1,1,15 Totnes Road,1,9.76995616,64,Rental,35132836
Sea Point,1,1,,0,9.581903928,30,Rental,36788636
Cape Town City Centre,2,2,,1,9.998797732,143,Rental,36782165
Green Point,2,1,,1,10.04324949,86,Rental,36772042
Newlands,4,2,,5,10.87804719,,Rental,36827367
Green Point,3,1,,0,9.998797732,110,Rental,36811690
Woodstock,3,1,,0,9.903487553,141,Rental,36766394
Sea Point,2,2,,1,10.91508846,,Rental,36787035
Claremont,1,1,,1,9.350102314,,Rental,36823418
Tamboerskloof,2,1,"Union Street, Gardens, Cape Town",1,9.76995616,87,Rental,35422415
Sea Point,1,1,,0,9.798127037,,Rental,36819929
Green Point,1,1,"Neighbourgood Hill Suites, 2 Hill Rd, Green Point",0,9.679093219,,Rental,36729046
Sea Point,1,1,"23 Arthurs , Arthur’s Road",1,9.878169745,55,Rental,36772694
Newlands,2,2,6 Thicket Street,2,10.38899537,83,Rental,36770453
Green Point,1,1,,1,9.680344001,,Rental,36825528
Wynberg Upper,2,1,,2,9.433483923,85,Rental,36765191
Kenilworth,2,1,,2,9.392661929,65,Rental,36775506
Sea Point,4,3,,1,10.81977828,138,Rental,36798839
Fresnaye,2,2.5,,3,11.08214255,161,Rental,36765257
Sea Point,3,2,,1,10.75683848,110,Rental,36767954
Sea Point,0.5,1,,1,9.680344001,30,Rental,36768507
Mouille Point,3,2,,1,10.46310334,132,Rental,36786050
Camps Bay,2,2,,1,10.91508846,88,Rental,36760920
Kenilworth,1,1,,1,9.305650552,,Rental,36825200
Fresnaye,5,5.5,,2,12.10071213,,Rental,36818025
Mouille Point,2,1,,1,10.30895266,78,Rental,36801929
Vredehoek,1,1,,1,9.680344001,,Rental,36815020
Mouille Point,2,2,,2,10.80972795,163,Rental,35012627
Fresnaye,3,3.5,,2,11.28978191,,Rental,36818513
Fresnaye,2,1,,1,10.1266311,83,Rental,34915829
Rondebosch,1,1,,0,9.392661929,,Rental,36819004
Sea Point,3,2,,1,10.65725935,,Rental,36828062
Rondebosch,3,2,,2,9.798127037,,Rental,36831294
Tokai,4,4,13 Beech Road,2,11.08214255,500,Rental,36209390
Mouille Point,3,2,,2,11.22524339,222,Rental,36765476
Sea Point,2,2,,2,9.903487553,85,Rental,36792179
Rondebosch,1,1,,1,9.210340372,,Rental,36825633
Oranjezicht,1,1,,1,9.532423871,68,Rental,36761079
Sea Point,2,2,,2,10.30895266,81,Rental,36786075
Green Point,0.5,1,,1,9.680344001,,Rental,36819911
Sea Point,2,2,,2,10.53209621,72,Rental,36810953
