Suburb,Bedrooms,Bathrooms,Address,Parking_spaces,Price,Floor_size,Type,URL_code
Green Point,1.0,1.0,,1.0,10.30895266,64.0,Rental,36790219
Sea Point,2.0,2.0,81 Regent Road,1.0,10.1266311,101.0,Rental,35021820
Sea Point,3.0,3.5,,1.0,10.71441777,252.0,Rental,36773621
Wynberg,1.0,1.0,Park Rd Wynberg,0.0,8.630521877,20.0,Rental,36788475
Llandudno,1.0,1.0,,1.0,9.740968623,,Rental,36830980
Plumstead,2.0,1.0,,1.0,9.354440716,,Rental,36825929
Sea Point,3.0,2.0,,2.0,10.65725935,,Rental,35549766
Foreshore,1.0,1.0,Harbour Arch Boulevard,1.0,9.61580548,41.0,Rental,36627946
Camps Bay,4.0,2.0,,2.0,11.15625052,220.0,Rental,36767961
Gardens,1.0,1.0,,2.0,9.71111566,90.0,Rental,35407982
Claremont,3.0,3.0,,1.0,10.20359214,688.0,Rental,36798384
Green Point,2.0,2.0,,1.0,10.37349118,81.0,Rental,34988846
Rondebosch,4.0,3.0,,3.0,11.28978191,800.0,Rental,36809491
Sea Point,1.0,1.0,The Flamingo 4th Floor 6 Regent Road Sea Point,0.0,9.61580548,,Rental,36829301
