Suburb,Bedrooms,Bathrooms,Address,Parking_spaces,Price,Floor_size,Type,URL_code
Three Anchor Bay,3.0,3.0,5 Stone Road,0.0,10.46310334,,Rental,36610798
Mouille Point,3.0,5.0,,2.0,11.91839057,541.0,Rental,36835274
Kenilworth,2.0,1.0,,1.0,9.680344001,81.0,Rental,36792042
Claremont Upper,1.0,1.0,25 Protea Road,1.0,9.680344001,60.0,Rental,36488689
Gardens,1.0,1.0,3 Derwent Road,1.0,9.798127037,,Rental,36538983
Muizenberg,3.0,3.0,10 Maynard Road,1.0,9.71111566,114.0,Rental,36778981
Gardens,1.0,1.0,,0.0,9.491752831,56.0,Rental,33569791
Tamboerskloof,3.0,2.0,,1.0,11.22524339,,Rental,36576959
Green Point,4.0,5.0,,2.0,11.77528973,300.0,Rental,36742229
Sea Point,1.0,1.0,Kei Apple Grove,1.0,10.77895629,57.0,Rental,35909596
Woodstock,0.5,1.0,,1.0,9.472704636,,Rental,36696349
Sea Point,2.0,2.0,259 On Beach Road,1.0,10.46310334,105.0,Rental,36771043
Sea Point,2.0,1.0,28 Glengariff Rd,1.0,10.1266311,,Rental,36764288
Llandudno,2.0,1.0,,3.0,10.59663473,,Rental,35618735
Kenilworth,4.0,2.0,3 Myrtle Rd,2.0,8.748304912,120.0,Rental,33464782
Fresnaye,2.0,2.0,,2.0,10.71441777,138.0,Rental,36665641
Waterfront,1.0,1.0,,0.0,9.775654181,52.0,Rental,33151808
Clifton,2.0,2.0,,2.0,11.35040654,133.0,Rental,36786886
Claremont,2.0,1.5,,1.0,9.392661929,83.0,Rental,35535839
Rondebosch,1.0,1.0,,0.0,8.926650321,,Rental,36759228
Observatory,3.0,2.0,609 Madison 6 Trill Road,1.0,10.09203966,90.0,Rental,33535677
Diep River,2.0,2.0,21 Annandale Road,1.0,9.680344001,,Rental,36824743
Green Point,1.0,1.0,37 Main Road,1.0,9.998797732,,Rental,36793281
Waterfront,2.0,2.0,,2.0,11.32055357,95.0,Rental,35559037
Plumstead,2.0,1.0,"16 Manyways, 77 Doordrift Road",1.0,9.546812609,87.0,Rental,36814229
Sea Point,2.0,1.0,,2.0,10.20359214,94.0,Rental,36744712
Cape Town City Centre,1.0,1.0,"Neighbourgood East City, 60 Corporation St, Cape Town",0.0,9.61580548,,Rental,36630824
Three Anchor Bay,2.0,1.5,,0.0,10.81977828,,Rental,36689850
Clifton,2.0,2.0,52 Victoria Rd,2.0,11.46163217,,Rental,36080301
Cape Town City Centre,2.0,2.0,,1.0,10.71330604,,Rental,35234872
Sea Point,2.0,2.0,,1.0,10.30895266,120.0,Rental,36473597
Cape Town City Centre,2.0,2.0,,1.0,10.66895539,123.0,Rental,36755002
Cape Town City Centre,2.0,1.0,Manhatten Place 130 Bree Street Cape Town,1.0,10.59663473,,Rental,36450497
Foreshore,0.5,1.0,,1.0,9.472704636,,Rental,36422858
Plumstead,1.0,1.0,,1.0,8.968268811,,Rental,36797053
Mouille Point,1.0,1.0,,1.0,9.735068901,71.0,Rental,36832552
Cape Town City Centre,1.0,1.0,,0.0,9.472704636,65.0,Rental,36699295
Camps Bay,4.0,4.0,,4.0,11.35040654,,Rental,34246783
Sea Point,2.0,2.0,,1.0,10.38899537,,Rental,35930903
Observatory,1.0,1.0,,1.0,9.350102314,41.0,Rental,36799573
Gardens,2.0,3.0,20 Wembley Rd,4.0,10.59663473,300.0,Rental,36777692
Cape Town City Centre,0.5,1.0,,0.0,9.667765219,30.0,Rental,36546482
Sea Point,2.0,2.0,,1.0,10.04324949,92.0,Rental,36782764
Foreshore,1.0,1.0,Harbour Arch Boulevard,1.0,9.798127037,51.0,Rental,36796300
Sea Point,1.0,1.5,,1.0,10.16585182,49.0,Rental,35155720
Fresnaye,5.0,4.0,,2.0,11.69524702,,Rental,35838239
Observatory,1.0,1.0,3a Howe Street,2.0,9.472704636,65.0,Rental,30940627
Mouille Point,3.0,3.5,,2.0,11.08214255,270.0,Rental,36832448
Fresnaye,4.0,5.0,,2.0,11.51292546,,Rental,36657809
Clifton,2.0,2.0,,2.0,11.35040654,133.0,Rental,36784752
Cape Town City Centre,2.0,2.0,,0.0,9.903487553,,Rental,36179005
Vredehoek,2.0,2.0,Everest Cl Devil's Peak Estate,1.0,10.1266311,70.0,Rental,36824495
Cape Town City Centre,0.5,1.0,,1.0,9.581903928,,Rental,36811174
Wynberg Upper,2.0,1.0,19 Sherard Square,1.0,9.305650552,91.0,Rental,36651554
Muizenberg,2.0,2.0,,1.0,9.903487553,,Rental,36776847
Cape Town City Centre,2.0,2.0,6 Pepper Street,2.0,9.928180165,132.0,Rental,36628433
Kenilworth,1.0,1.0,,0.0,9.011889433,42.0,Rental,36823216
Camps Bay,5.0,5.0,,1.0,11.35040654,,Rental,36575645
Mouille Point,1.0,1.0,"1943, Beach Road",1.0,11.15625052,,Rental,34695573
Woodstock,1.0,1.0,Woodstock Quarter 187 Sir Lowry Road,1.0,9.259130536,,Rental,36829578
